spruch,explanation,category,source,rating,id
"Der Computer ist die Antwort. Was war eigentlich die Frage?",,"Technik","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"153"
"Der Computer ist kein Wunder, er arbeitet nur so schnell, weil er nicht denkt.",,"Technik","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"154"
"Der deutsche Humor ist seiner Seltenheit wegen besonders wertvoll.",,"Alman","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"155"
"Der direkteste Weg der Listigen ist die Schlangenlinie.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"156"
"Der Dschingis Khann, wenn er nur will.",,"Lazy Town","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"157"
"Der Enkel und sein Opa wollen Frieden in Europa.",,"Nie wieder Krieg!,Reim","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"158"
"Der fette Vogel bricht den Ast.",,"Tiere,Fatshaming","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"159"
"Der Geist denkt, das Geld lenkt.",,"Finanzen","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"160"
"Der Geist ist willig, aber das Fleisch knapp.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"161"
"Der Glatzkopf, der die Glatze föhnt, hat mit dem Schicksal sich versöhnt.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"162"
"Der Hektiker rast bei Gelb über die Ampel. Der Besonnene wartet, bis Rot ist.",,"Autos","https://wolfgang-naeser-marburg.lima-city.de/htm/sponti.htm",,"163"
"Der Herr zum Knecht: ""Heut geht's mir schlecht!"" Der Knecht zum Herrn: ""Das hört man gern!""",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"164"
"Der Kanzler lenkt - aber wer denkt?",,"Politik","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"165"
"Der Klügere gibt so lange nach, bis er der Dumme ist.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"166"
"Der Klügere gibt vor, nachzugeben.",,"Dummheit","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"167"
"Der Klügere zählt nach.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"168"
"Der letzte Wagen ist immer ein Kombi.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"169"
"Der liebe Gott sieht alles außer Dallas.",,"Denglisch,Religion","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"170"
"Der Mensch sollte nicht gesünder leben als ihm gut tut.",,"Life finds a way,Health","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"171"
"Der Mond ist nicht nur kleiner als die Erde, sondern auch weiter von ihr entfernt.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"172"
"Der Mond ist voll, und ich hab auch schon Durst.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"173"
"Der Neid ist die aufrichtigste Form der Anerkennung.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"174"
"Der Papst zu Thomas Gottschalk: Wetten, dass ich 200 Flughäfen am Geschmack erkenne?",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"175"
"Der Pessimist beklagt den Riss in der Hose, der Optimist freut sich über den Luftzug.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"176"
"Der Plebs trinkt Schweppes.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"177"
"Der Regenwurm wird arg vermisst, weil er heut zum Angeln ist.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"178"
"Der Schwätzer sagt, was der Kopflose denkt.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"179"
"Der Specht, der steht am Gartenteich und hämmert alle Karpfen weich.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"180"
"Der Spekulant verdient sein Brot mit Hausverfall und Wohnungsnot.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"181"
"Der Strauß steckt den Kopf nur in den Sand, wenn es da etwas Interessantes zu hören gibt.",,"Tiere","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"182"
"Der Student geht solange zur Mensa bis er bricht.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"183"
"Der Student studiert, der Arbeiter arbeitet, der Chef scheffelt.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"184"
"Der Vater rülpst, die Kinder lachen: so ist billig Freude machen.",,,"https://wolfgang-naeser-marburg.lima-city.de/htm/sponti.htm",,"185"
"Der Verstand ist unser größtes Vermögen, aber Armut schändet nicht.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"186"
"Der Wintereinbruch ist nicht strafbar.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"187"
"Deutsche raus aus Deutschland, dann ist Frieden.",,"Alman","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf","5","188"
"Deutschland hat die Eigenart, innen bitter, außen hart.",,"Alman","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"189"
"Diäten hoch, Phrasen platt - wie schön is dat!",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"190"
"Die Ameise hält das Glühwürmchen für ein großes Licht.",,"Tiere","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"191"
"Die Axt im Haus ist die Mutter der Porzellankiste.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"192"
"Die Basis des Fundamentalen ist das Grundlegende.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"193"
"Die beste Nation ist die Resignation.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"194"
"Die Bürde des Menschen ist unannehmbar.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"195"
"Die dämlichsten Herren haben oft die herrlichsten Damen.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"196"
"Die DKP ist die Vorhaut der Arbeiterklasse: Wenn es ernst wird, zieht sie sich zurück.",,"Politik","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"197"
"Die einzige Blume, die auf Beton wächst, ist die Neurose.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"198"
"Die eiserne Reserve des Sozialstaats: ALU-MINIMUM.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"199"
"Die Elbe ist ein Jungbrunnen: ein Schluck, und du wirst nicht alt.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"200"
"Die Entfernung zwischen Brett und Kopf nennt man Horizont.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"201"
"Die erste Nacht am Galgen ist die schlimmste.",,"Tod","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"202"
"Die Fahrzeuge des Vatikans werden nicht mit Katholisator ausgerüstet. Fiat auch nicht, trotz Beteiligung.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"203"
"Die Frauen sind viel zu liebenswert, als dass man sie den Feministinnen überlassen sollte.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"204"
"Die größte Offenbarung ist die Stille. (Lao'tse)",,,"https://wolfgang-naeser-marburg.lima-city.de/htm/sponti.htm",,"205"
"Die hedonistische Linke grüßt alle Fans, Kaputtniks, Freaks und Gerd Müller.",,"Politik","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"206"
"Die Intelligenz verfolgt mich, doch ich bin schneller.",,,"https://wolfgang-naeser-marburg.lima-city.de/htm/sponti.htm",,"207"
"Die kluge Frau folgt ihrem Mann, wohin sie will.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"208"
"Die Liebe ist das Licht des Lebens, die Ehe ist die Stromabrechnung.",,"Love is Love","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"209"
"Die Liebe ist ein Feuer; man weiß nie, wie es ausgeht.",,"Love is Love","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"210"
"Die Luft ist Schein, und der trügt.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"211"
"Die Macht der Presse spüren vor allem die Weintrauben.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"212"
"Die meisten Holzwege enden in einer Sackgasse.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"213"
"Die meisten Leute reden nur, weil sie zu faul zum Lesen sind.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"214"
"Die meisten Menschen werden kleiner, wenn man sie unter die Lupe nimmt.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"215"
"Die Milch wird sauer, das Bier wird schal - im Fernsehn spricht der Löwenthal..."," Floh de Cologne, ca. 1970",,"https://wolfgang-naeser-marburg.lima-city.de/htm/sponti.htm",,"216"
"Die nächste Steinzeit kommt bestimmt.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"217"
"Die Pflicht ruft? Wir rufen zurück.",,"Arbeit ist doof","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"218"
"Die Phantasie der Männer reicht bei weitem nicht aus, die Realität der Frauen zu begreifen.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"219"
"Die Publikationen des Dozenten sind so gut wie die Seminararbeiten seiner Studenten.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"220"
"Die Regierung spart, jetzt müssen sich 20 Minister ein Gehirn teilen.",,"Politik","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"221"
"Die Scheibe klirrt, der Sponti kichert, hoffentlich Allianz versichert.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"222"
"Die Schlankheitskur verliert den Schrecken, lässt du dir alles weiter schmecken.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"223"
"Die schlimmste Konsequenz von Dekadenz ist Impotenz.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"224"
"Die Schweine von heute, sind die Schnitzel von morgen.",,"Tiere,Food","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"225"
"Die Spitzhacke im Haus ersetzt den Psychopathen. ","(Wilsberg, ""Bullenball"", ZDFneo 11.2.2015)",,"https://wolfgang-naeser-marburg.lima-city.de/htm/sponti.htm",,"226"
"Die Sterne lügen nicht, aber wie sieht es mit ihren Deutern aus?",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"227"
"Die Unterdrückten der Gegenwart sind die Unterdrücker der Zukunft.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"228"
"Die USA haben die Entwicklung von der Barbarei zur Dekadenz ohne den Umweg über die Kultur gemacht.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"229"
"Die Wahrheit hat noch keinem geschadet - außer dem, der sie ausspricht.",,,"https://wolfgang-naeser-marburg.lima-city.de/htm/sponti.htm",,"230"
"Die Welt erstickt in Plastiktüten; die Einkaufstasche kann's verhüten.",,"Öko","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"231"
"Die Welt ist wunderschön, wär aber wirklich nicht nötig gewesen.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"232"
"Die Zeit zurückdrehen hieße Milch aus Käse zu produzieren.",,"Food","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"233"
"Die Zunge ist das einzige Werkzeug, das durch ständigen Gebrauch noch schärfer wird.",,,"https://wolfgang-naeser-marburg.lima-city.de/htm/sponti.htm",,"234"
"Do not walk on grass, smoke it!",,"Drogen,Denglisch","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"235"
"Drei Jahre war der Papa Punk, jetzt rockt er wieder, Gott sei Dank.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"236"
"Drinnen ist es wie draußen: bloß anders.",,"Random","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf","4","237"
"Droht der Bauer mit der Rute, zieht die Stute eine Schnute.",,"Gewalt","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"238"
"Du hast keine Chance, darum nutze sie!",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"239"
"Du hast so schöne Zähne: Gibt's die auch in weiß?",,"Anatomie,Hygiene","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"240"
"Duckmäuser aller Länder, vereinigt euch!",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"241"
"Dummheit, verlass ihn nicht, sonst steht er ganz allein.",,"Dummheit","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"242"
"Durch Arbeit versaut man sich den ganzen Tag.",,,"https://wolfgang-naeser-marburg.lima-city.de/htm/sponti.htm",,"243"
"Echte Bankgeheimnisse gibt es nur in Parkanlagen.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"244"
"EDV = Ende der Vernunft.",,"Technik","https://wolfgang-naeser-marburg.lima-city.de/htm/sponti.htm",,"245"
"Ehe = errare humanum est.",,,"https://wolfgang-naeser-marburg.lima-city.de/htm/sponti.htm",,"246"
"Ehelich währt am längsten, doch vorehelich ist spannender.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"247"
"Eher kommt ein Kamel durchs Nadelöhr als ein Elefant ins Mausoleum.",,"Tiere","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"248"
"Ei laf ju änd ju laf mi - laf ma zam, wo laf ma hi?",,"Denglisch","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"249"
"Ein Arbeitstag beginnt um sieben, doch nicht, wenn du im Bett geblieben.",,"Arbeit ist doof,Lazy Town","https://wolfgang-naeser-marburg.lima-city.de/htm/sponti.htm",,"250"
"Ein Bild von Meister Remmebrand das wär mir lieber an der Wand.",,,"https://wolfgang-naeser-marburg.lima-city.de/htm/sponti.htm",,"251"
"Ein blindes Huhn findet auch mal eine lahme Ente.",,"Tiere","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"252"
"Ein deutscher Mann misstraut allem Fremden; es sei denn, es lässt sich trinken.",,"Saufen,Alman","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"253"
"Ein Gehirn wäscht das andere.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"254"
"Ein Huhn schminkt sich als Wiedehopf und meidet so den Suppentopf.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"255"
"Ein Mann ist so alt, wie er sich fühlt, eine Frau so alt wie sie sich anfühlt.",,"Sexismus","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"256"
"Ein Mann wie ein Baum, sie nannten ihn Bonsai.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"257"
"Ein Masochist, der zurückhaut, ist pervers.",,"Sexualität","https://wolfgang-naeser-marburg.lima-city.de/htm/sponti.htm",,"258"
"Ein Pinguin, der es besser weiß, kühlt sich den Po im Scholleneis.",,"Tiere","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"259"
"Ein Playboy hat immer was in Petting.",,"Sexualität","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"260"
"Ein Schnaps ist uns lieber als Pocken und Fieber.",,"Saufen,Health","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"261"
"Ein schönes Stempelkissen ersetzt das halbe Amtsgewissen.",,"Bürokratie","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"262"
"Ein Schwabe macht noch keinen Sommer.",,"Alman","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"263"
"Ein Schwein kommt selten allein.",,"Tiere","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"264"
"Ein Sponti weiß nicht, was er will, weiß aber, was er nicht will.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"265"
"Ein Student geht so lange zur Mensa, bis er bricht.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"266"
"Ein Taucher, der nicht taucht, taucht nix.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"267"
"Ein tobender Mann ist dynamisch, eine tobende Frau hysterisch.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"268"
"Ein Tritt in den Hintern sagt mehr aus tausend Worte.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"269"
"Ein voller Bauch fällt nicht weit vom Stamm.",,,"https://wolfgang-naeser-marburg.lima-city.de/htm/sponti.htm",,"270"
"Ein voller Kopf studiert nicht gern.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"271"
"Eine Blume geht über die Wiese, sieht einen wunderschönen Menschen und reißt ihm den Kopf ab.",,"Switcheroo","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"272"
"Eine Frau ohne Mann ist wie ein Fisch ohne Fahrrad.",,"Random","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf","2","273"
"Eine kinderlose Ehe besteht aus Spaßvögeln.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"274"
"Eine Kuh macht Muh; viele Kühe machen Mühe.",,"Tiere","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"275"
"Eine lose Mutter ist lockerer als ’ne feste Schraube.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"276"
"Eine Lösung hatte ich, aber sie passte nicht zum Problem.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"277"
"Eine Öko-Mähne ist eine Perücke aus Echthaar ","(23.9.2011 in Facebook zum Thema Papstbesuch)","Punny,Öko","https://wolfgang-naeser-marburg.lima-city.de/htm/sponti.htm",,"278"
"Eine Schwalbe macht noch keinen Elfmeter.",,"Tiere,Sport","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"279"
"Eine spitze Zunge ist in vielen Ländern schon unerlaubter Waffenbesitz.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"280"
"Eines nur ist wirklich mystisch: Reagan ist noch immer rüstisch.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"281"
"Einstein ist tot, Newton ist tot, und mir ist auch schon schlecht.",,"Tod","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"282"
"Einzeln und frei wie ein Baum und brüderlich wie ein Wald ist meine Sehnsucht.",,"Natur","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"283"
"Elite? Nein danke.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"284"
"Ende gut, alles putt.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"285"
"Energiesparer: heizt mit Meerwasser, das ist fast reines Öl.",,"Öko","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"286"
"Enthaltsamkeit ist aller Laster Anfang.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"287"
"Entlaubt ist, was gefällt.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"288"
"Entrüstung - sagte der Ritter und stand nackt im Wind.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"289"
"Entschuldige, dass ich lebe - werde es auch nie wieder tun!",,"Tod","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"290"
"Er aß die Milch und trank das Brot, doch als er starb, da war er tot.",,"Food,Tod","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"291"
"Er hat Haare auf der Brust. Na und? Lassie etwa nicht?",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"292"
"Er sagte 'Isabelle'. Und Isa bellte.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"293"
"Er war kein Mann für eine Nacht. Er war schon nach ein paar Stunden müde. ",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"294"
"Er war Mathematiker, sie war unberechenbar.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"295"
"Erfahrung ist die Summe der Dummheiten, die man im Bedarfsfall wieder anwendet ","(Dieter Hildebrandt, 23.5.2k2, Morgenmagazin 7:38)","Dummheit","https://wolfgang-naeser-marburg.lima-city.de/htm/sponti.htm",,"296"
"Erst darüber nachdenken. Nehmt dann Kredit auf!",,"Finanzen","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"297"
"Erst grübeln, dann dübeln ","(ZDF, Frontal 21 ""Doll"", 18.7.2k7)",,"https://wolfgang-naeser-marburg.lima-city.de/htm/sponti.htm",,"298"
"Erst hatte er 'nen forschen Pimmel, jetzt hat er einen Porsche-Fimmel.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"299"
"Erst schließen wir die Augen; dann sehen wir weiter.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"300"
"Es genügt nicht, unfähig zu sein; man muß auch in die Politik gehen.",,"Politik","https://wolfgang-naeser-marburg.lima-city.de/htm/sponti.htm",,"301"
"Es gibt Fach- und Mehrfachidioten.",,,"https://wolfgang-naeser-marburg.lima-city.de/htm/sponti.htm",,"302"
"Es gibt jetzt endlich die Pille für den Mann. Sie wird nach dem Verkehr eingenommen und verändert die Blutgruppe ","(Jürgen von der Lippe)","Sexismus","https://wolfgang-naeser-marburg.lima-city.de/htm/sponti.htm",,"303"
"Es gibt Menschen, die nur in aufgeblasenem Zustand sichtbar werden.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"304"
"Es gibt viel zu tun, lassen wir es sein.",,"Lazy Town","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"305"
"Es gibt viel zu tun, nix wie weg.",,"Lazy Town","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"306"
"Es gibt viel zu tun, tauchen wir unter.",,"Lazy Town","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"307"
"Es gibt viel zu tun, warten wir es ab.",,"Lazy Town","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"308"
"Es ist ein geiles Feeling, wenn aus Malooche Zaster wird.",,,"https://wolfgang-naeser-marburg.lima-city.de/htm/sponti.htm",,"309"
"Es ist nicht alles Trübsal, was man blasen kann.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"310"
"Es ist noch kein Meister vom Himmel gefallen, sie sind alle noch droben.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"311"
"Es ist verboten toten Kojoten am Boden die Hoden zu verknoten.",,"Tiere","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"312"
"Es kann passieren, was will, es gibt immer einen, der das kommen sah.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"313"
"Es kräht der Hahn auf eigenem Mist, nur wenn er Grundbesitzer ist.",,"Tiere","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"314"
