spruch,explanation,category,source,rating,id
"Amis raus aus den USA, denn Winnetou ist wieder da.",,"USA","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"37"
"An die Waffeln, Bürger!",,"Nie wieder Krieg!","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"38"
"Ana log und Mono redete mit sich selbst.",,"Punny","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"39"
"Anarchie – jeder wie er will, Monarchie – einer wie er will, Demokratie – keiner wie er will.",,"Politik","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"40"
"Anarchie ist die übergeordnete Form von Organisation.",,"Anarchie","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"41"
"Andiamo – an den Dynamo",,,"https://www.achtziger.de/spass/spontisprueche/",,"42"
"Anything goes, nur nicht Albrecht Goes.",,,"https://www.achtziger.de/spass/spontisprueche/",,"43"
"Arbeit adelt; wir aber bleiben bürgerlich.",,"Arbeit ist doof","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"44"
"Arbeit ist der Untergang der trinkenden Klasse.",,"Arbeit ist doof,Saufen","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"45"
"Arbeit ist eine lustvolle Variante des Schwachsinns.",,"Arbeit ist doof","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"46"
"Arbeit ist süß, aber sauer macht lustig.",,"Arbeit ist doof","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"47"
"Arbeit ist süß; ich bin aber Diabetiker.",,"Arbeit ist doof","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"48"
"Arbeit macht das Leben süß; Faulheit stärkt die Glieder.",,"Arbeit ist doof,Lazy Town","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"49"
"Arbeit macht Spaß; aber wer kann schon Spaß vertragen?",,"Arbeit ist doof","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"50"
"Arbeit macht Spaß; man kann stundenlang zuschauen.",,"Arbeit ist doof","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"51"
"Arbeitskraft? Nein danke.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"52"
"Ãrgere dich nicht, wenn dir ein Vogel auf den Kopf kackt. Freu dich lieber, dass Elefanten nicht fliegen können ","(Facebook, 10.10.2020)","Tiere","https://www.achtziger.de/spass/spontisprueche/",,"53"
"Armut, Keuschheit und Gehorsam, unerträglich sind sie alle.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"54"
"Auch Arme haben Beine.",,"Anatomie","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"55"
"Auch das schönste Geweih macht noch keinen starken Hirsch.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"56"
"Auch die Linke braucht Pinke.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"57"
"Auch die schönste Frau ist an den Füßen zu Ende.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"58"
"Auch die Stimme des Gewissens hat mal Stimmbruch.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"59"
